go_id	type
http://purl.obolibrary.org/obo/GO_0021915	biological_process
http://purl.obolibrary.org/obo/GO_0046329	biological_process
http://purl.obolibrary.org/obo/GO_0032091	biological_process
http://purl.obolibrary.org/obo/GO_0090263	biological_process
http://purl.obolibrary.org/obo/GO_0045732	biological_process
http://purl.obolibrary.org/obo/GO_0005068	molecular_function
http://purl.obolibrary.org/obo/GO_0030316	biological_process
http://purl.obolibrary.org/obo/GO_0009898	cellular_component
http://purl.obolibrary.org/obo/GO_0030496	cellular_component
http://purl.obolibrary.org/obo/GO_0072686	cellular_component
http://purl.obolibrary.org/obo/GO_0051233	cellular_component
http://purl.obolibrary.org/obo/GO_0005246	molecular_function
http://purl.obolibrary.org/obo/GO_0019003	molecular_function
http://purl.obolibrary.org/obo/GO_0003924	molecular_function
http://purl.obolibrary.org/obo/GO_0000287	molecular_function
http://purl.obolibrary.org/obo/GO_0007166	biological_process
http://purl.obolibrary.org/obo/GO_0006955	biological_process
http://purl.obolibrary.org/obo/GO_0051276	biological_process
http://purl.obolibrary.org/obo/GO_0051310	biological_process
http://purl.obolibrary.org/obo/GO_0000785	cellular_component
http://purl.obolibrary.org/obo/GO_0060337	biological_process
http://purl.obolibrary.org/obo/GO_0045814	biological_process
http://purl.obolibrary.org/obo/GO_0000118	cellular_component
http://purl.obolibrary.org/obo/GO_0017053	cellular_component
http://purl.obolibrary.org/obo/GO_0004407	molecular_function
http://purl.obolibrary.org/obo/GO_0030955	molecular_function
http://purl.obolibrary.org/obo/GO_0033558	molecular_function
http://purl.obolibrary.org/obo/GO_0008270	molecular_function
http://purl.obolibrary.org/obo/GO_0034983	biological_process
http://purl.obolibrary.org/obo/GO_0042113	biological_process
http://purl.obolibrary.org/obo/GO_0030183	biological_process
http://purl.obolibrary.org/obo/GO_0006954	biological_process
http://purl.obolibrary.org/obo/GO_0014898	biological_process
http://purl.obolibrary.org/obo/GO_0043433	biological_process
http://purl.obolibrary.org/obo/GO_0010832	biological_process
